# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jun  7 22:34:14 2015
#
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
#
rowid,kepoi_name,kepler_name,koi_period,koi_prad,koi_teq,koi_insol
5056,K03992.01,,0.730946321000,10.11000,1863.0,2849.83
5057,K03993.01,,0.686993582000,67.15000,2061.0,4267.13
5058,K03994.01,,1.324249858000,1.32000,2218.0,5726.25
5059,K03995.01,,0.780632004000,494.96000,2715.0,12837.08
5060,K03996.01,,0.730944471000,6.01000,1771.0,2322.99
5061,K03997.01,,0.552834307000,215.05000,3102.0,21895.36
5062,K03998.01,,0.758354680000,122.94000,3120.0,22401.95
5063,K03999.01,,3.435252040000,74.63000,1281.0,637.24
5064,K04000.01,,0.962827975000,1.54000,2682.0,12235.91
5065,K04000.02,,12.427135000000,1.05000,1143.0,403.80
5066,K04001.01,,1.081940746000,1.10000,1364.0,819.14
5067,K04002.01,,0.524176094000,1.42000,2045.0,4133.52
5068,K04003.01,,1.891302510000,1.22000,1675.0,1860.58
5069,K04004.01,,4.943285330000,2.24000,1490.0,1164.87
5070,K04005.01,Kepler-439 b,178.140456000000,2.33000,284.0,1.54
5071,K04006.01,,12.425299000000,2.63000,1344.0,770.64
5072,K04006.02,,0.962770160000,1.03500,3153.0,
5073,K04007.01,,11.492897000000,39.97000,860.0,129.57
5074,K04008.01,,70.751448900000,85.89000,441.0,8.97
5075,K04009.01,,175.138819000000,2.94000,361.0,4.00
5076,K04009.02,,77.790680000000,1.78000,473.0,11.81
5077,K04010.01,,1.728526189000,3.31000,2491.0,9100.75
5078,K04011.01,,2.190691027000,0.99000,1580.0,1472.39
5079,K04012.01,,372.164780000000,5.68000,279.0,1.44
5080,K04013.01,,0.947730115000,2.57000,3885.0,53872.33
5081,K04014.01,,234.244257000000,3.14000,335.0,2.99
5082,K04015.01,,133.303674100000,2.71000,301.0,1.94
5083,K04016.01,,125.413117700000,2.30000,238.0,0.75
5084,K04017.01,,21.571421000000,1.13000,888.0,146.81
5085,K04018.01,,0.868723335000,1.53000,1999.0,3776.50
5086,K04019.01,,360.330120000000,2.34000,200.0,0.38
5087,K04020.01,,0.566800370000,1.93000,2397.0,7801.90
5088,K04021.01,,7.235329060000,2.04000,1531.0,1298.70
5089,K04021.02,,4.932094670000,1.63000,1740.0,2167.40
5090,K04022.01,,4.858204020000,0.91000,1194.0,480.88
5091,K04023.01,,357.058779000000,4.96000,242.0,0.82
5092,K04024.01,,8.406911990000,2.15000,1048.0,285.67
5093,K04025.01,,0.974478016000,1.25000,1513.0,1239.32
5094,K04026.01,,0.735145086000,35.48000,2523.0,9573.46
5095,K04027.01,,0.827350283000,0.80000,2054.0,4204.69
5096,K04028.01,,0.618952101000,5.28000,496.0,14.29
5097,K04029.01,,1.317232539000,5.78000,2166.0,5199.35
5098,K04030.01,,7.755399000000,44.77000,822.0,107.76
5099,K04030.02,,163.514898470000,,,
5100,K04031.01,,0.730949208000,3.94000,2359.0,7321.40
5101,K04032.01,,3.951168820000,0.95000,1277.0,629.58
5102,K04032.02,,2.892230210000,0.83000,1417.0,951.80
5103,K04032.03,,5.992737380000,1.03000,1111.0,360.30
5104,K04032.04,,5.101157560000,0.94000,1173.0,447.07
5105,K04032.05,,7.235323090000,0.77000,948.4,
5106,K04033.01,,0.991553431000,2.24000,1803.0,2496.31
5107,K04034.01,,6.967102690000,2.22000,1214.0,513.32
5108,K04034.02,,11.608985400000,14805.00000,1024.0,259.86
5109,K04035.01,,8.811062200000,62.79000,881.0,142.58
5110,K04036.01,,168.811174000000,1.83000,256.0,1.02
5111,K04037.01,,215.959931000000,3.14000,387.0,5.29
5112,K04038.01,,2.156845500000,1.11000,1474.0,1114.90
5113,K04039.01,,1.387834864000,1.29000,1775.0,2344.15
5114,K04040.01,,0.678349438000,32.63000,1852.0,2782.82
5115,K04041.01,,1.022027868000,31.21000,1651.0,1755.39
5116,K04042.01,,0.723567920000,7.00000,4705.0,115812.14
5117,K04043.01,,1.615911277000,2.74000,2200.0,5539.33
5118,K04044.01,,1.728529673000,1.17000,1677.0,1869.82
5119,K04045.01,,1.891220700000,0.87000,1670.0,1839.74
5120,K04046.01,,8.653160040000,2.13000,857.0,127.50
5121,K04046.02,,94.224306750000,,,
5122,K04047.01,,1.398628947000,2.22000,3667.0,42730.04
5123,K04048.01,,4.564450170000,1.11000,904.0,157.65
5124,K04049.01,,1.027904981000,36.62000,1654.0,1769.20
5125,K04050.01,,367.992410000000,57.17000,184.0,0.27
5126,K04051.01,,163.692349000000,2.71000,280.0,1.45
5127,K04052.01,,1.106529512000,19.87000,1654.0,1767.50
5128,K04053.01,,1.419749146000,0.84000,1760.0,2267.35
5129,K04054.01,,169.133455000000,1.99000,278.0,1.41
5130,K04055.01,,0.730953020000,0.82000,2651.0,11670.60
5131,K04056.01,,3.951382200000,64.89000,1083.0,324.78
5132,K04057.01,,9.089039600000,1.56000,1152.0,416.50
5133,K04058.01,,1.878873760000,1.05000,1245.0,567.17
5134,K04059.01,,0.979162857000,1.07000,1554.0,1379.41
5135,K04060.01,,225.262123000000,1.96000,296.0,1.82
5136,K04061.01,,0.855923670000,0.90000,1657.0,1782.11
5137,K04062.01,,3.059252290000,13.54000,1434.0,999.16
5138,K04063.01,,0.624676008000,1.70000,4465.0,93962.26
5139,K04064.01,,0.759767670000,1.11000,1748.0,2206.86
5140,K04065.01,,372.373690000000,2.68000,267.0,1.20
5141,K04066.01,,126.557522000000,4.50000,524.0,17.85
5142,K04067.01,,9.688664600000,3.18000,1025.0,261.22
5143,K04068.01,,19.597497100000,3.40000,671.0,47.90
5144,K04069.01,,13.062424960000,1.43000,527.0,18.25
5145,K04070.01,,0.793663381000,1.17000,1615.0,1608.53
5146,K04071.01,,1.891301420000,2.22000,1463.0,1081.67
5147,K04072.01,,0.692979676000,0.82000,2210.0,5635.00
5148,K04073.01,,87.140633000000,23.96000,468.0,11.37
5149,K04074.01,,185.532850000000,28.39000,302.0,1.96
5150,K04075.01,,0.885142630000,0.86000,1814.0,2560.27
5151,K04076.01,,124.828679000000,2.31000,342.0,3.25
5152,K04077.01,,0.786259821000,16.77000,1192.0,477.45
5153,K04078.01,,0.597933815000,31.35000,2127.0,4834.45
5154,K04079.01,,360.764580000000,60.30000,216.0,0.52
5155,K04080.01,,1.061006574000,1.15000,1680.0,1883.03
5156,K04081.01,,363.357550000000,3.45000,305.0,2.05
5157,K04082.01,,0.924816788000,1.29000,1960.0,3489.68
5158,K04083.01,,4.469732820000,3.01000,1248.0,574.11
5159,K04084.01,,214.886545000000,2.71000,266.0,1.18
5160,K04084.02,,10.728976920000,1.97000,723.0,
5161,K04084.03,,8.196202180000,1.24000,790.0,
5162,K04085.01,,0.914468988000,43.53000,1884.0,2978.16
5163,K04086.01,,1.540394662000,1.14000,1522.0,1267.95
5164,K04087.01,Kepler-440 b,101.111497600000,1.47000,201.0,0.39
5165,K04088.01,,0.907943742000,55.87000,2210.0,5634.58
5166,K04089.01,,0.531106671000,7.57000,1780.0,2371.49
5167,K04090.01,,1.332556380000,1.15000,1719.0,2062.92
5168,K04091.01,,225.582809000000,2.65000,312.0,2.24
5169,K04092.01,,24.497369800000,2.56000,714.0,61.53
5170,K04093.01,,0.535578969000,20.55000,2876.0,16182.65
5171,K04094.01,,3.570174980000,58.71000,6119.0,331478.01
5172,K04095.01,,1.106012600000,1.03000,1902.0,3093.39
5173,K04096.01,,6.873741230000,1.40000,909.0,161.61
5174,K04097.01,,2.790649339000,0.92000,827.0,110.57
5175,K04097.02,,4.449055450000,0.60000,708.0,59.42
5176,K04098.01,,1.121732561000,2.38000,2384.0,7641.15
5177,K04099.01,,4.950623520000,1.40000,892.0,149.49
5178,K04100.01,,379.095890000000,3.35000,253.0,0.97
5179,K04101.01,,366.315090000000,2.87000,353.0,3.65
5180,K04102.01,,1.891281690000,1.06000,1464.0,1084.51
5181,K04103.01,,184.771853000000,2.17000,251.0,0.94
5182,K04103.02,,14.237248600000,0.94000,591.0,28.76
5183,K04104.01,,392.497280000000,2.82000,232.0,0.68
5184,K04105.01,,363.411650000000,3.14000,263.0,1.12
5185,K04106.01,,0.708563086000,15.98000,1591.0,1515.40
5186,K04107.01,,366.242820000000,2.40000,237.0,0.75
5187,K04108.01,,1.332567760000,1.11000,1263.0,602.26
5188,K04109.01,,0.655937713000,1.53000,2411.0,7986.43
5189,K04110.01,,12.425642800000,1.67000,1006.0,242.04
5190,K04111.01,,1.891318910000,0.86000,984.0,221.36
5191,K04112.01,,2.435841530000,1.14000,1686.0,1909.92
5192,K04113.01,,1.332552281000,1.30000,1738.0,2156.14
5193,K04114.01,,359.102728000000,2.99000,285.0,1.55
5194,K04115.01,,0.941825820000,23.12000,2201.0,5547.35
5195,K04116.01,,0.783258387000,1.28000,1559.0,1395.69
5196,K04117.01,,4.242618810000,1.11000,939.0,183.50
5197,K04118.01,,1.231363736000,45.89000,1700.0,1973.12
5198,K04119.01,,0.755105919000,1.08000,1764.0,2287.46
5199,K04120.01,,110.458419000000,1.84000,414.0,6.96
5200,K04121.01,,198.088774000000,2.74000,266.0,1.19
5201,K04122.01,,1.081919330000,1.13000,1385.0,870.17
5202,K04123.01,,44.623031000000,1.67000,613.0,33.39
5203,K04124.01,,2.431429740000,1.17000,1378.0,852.00
5204,K04125.01,,1.111355325000,22.06000,2166.0,5200.00
5205,K04126.01,,8.105016350000,1.55000,966.0,206.27
5206,K04127.01,,8.827134570000,2.06000,900.0,154.93
5207,K04128.01,,143.193434000000,3.79000,380.0,4.95
5208,K04129.01,,2.314822150000,0.73000,1238.0,554.40
5209,K04130.01,,0.952378094000,8.16000,1436.0,1006.13
5210,K04131.01,,0.936746999000,1.57000,3817.0,50168.18
5211,K04131.02,,241.012200000000,4.41000,600.0,30.56
5212,K04132.01,,393.343310000000,2.27000,140.0,0.09
5213,K04133.01,,0.621361759000,0.85000,2433.0,8276.85
5214,K04134.01,,250.237607410000,,,
5215,K04135.01,,12.435185900000,0.54000,542.0,20.40
5216,K04136.01,,2.417492550000,0.69000,1264.0,602.92
5217,K04136.02,,4.033584840000,0.74000,1065.0,304.33
5218,K04137.01,,0.504426125000,55.05000,2339.0,7077.76
5219,K04138.01,,2.814014490000,0.81000,1309.0,693.48
5220,K04139.01,,3.740324960000,1.35000,1265.0,604.80
5221,K04140.01,,205.306270000000,2.48000,314.0,2.29
5222,K04141.01,,0.978047449000,105.63000,3144.0,23083.37
5223,K04142.01,,1.332560001000,1.78000,1315.0,706.28
5224,K04143.01,,1.854471100000,1.41000,1218.0,520.23
5225,K04144.01,,0.975309246000,1.13000,1932.0,3292.75
5226,K04145.01,,3.254284790000,0.81000,1136.0,393.34
5227,K04146.01,,3.504703580000,0.79000,1019.0,254.49
5228,K04147.01,,2.152933520000,0.68000,1466.0,1092.55
5229,K04148.01,,2.615896500000,1.30000,1358.0,803.03
5230,K04149.01,,9.546989990000,1.61000,1005.0,241.56
5231,K04149.02,,14.708735500000,1.62000,871.0,135.80
5232,K04150.01,,31.335139700000,1.99000,670.0,47.58
5233,K04151.01,,0.894851592000,30.43000,1752.0,2228.39
5234,K04152.01,,64.183553900000,147.10000,649.0,41.90
5235,K04153.01,,4.626027246000,1.60000,1011.0,247.34
5236,K04154.01,,368.714790000000,91.06000,236.0,0.73
5237,K04154.02,,122.901388000000,2.89000,340.0,3.16
5238,K04155.01,,12.422267300000,0.94000,871.0,136.30
5239,K04156.01,,4.850264230000,0.80000,1098.0,344.04
5240,K04157.01,,3.823163760000,1.04000,1554.0,1377.67
5241,K04157.02,,5.215763400000,0.84900,1159.0,
5242,K04158.01,,0.842336112000,1.38000,1943.0,3367.24
5243,K04159.01,,0.971915428000,0.70000,1581.0,1476.97
5244,K04160.01,,3.031957440000,0.91000,1270.0,614.20
5245,K04161.01,,1.294061280000,1.14000,2052.0,4194.71
5246,K04162.01,,0.539365533000,4.99000,3665.0,42638.27
5247,K04163.01,,94.446285000000,24.25000,611.0,32.93
5248,K04164.01,,0.925657078000,0.94000,2381.0,7600.86
5249,K04165.01,,0.537109866000,125.99000,2965.0,18262.22
5250,K04166.01,,9.842611950000,2.48000,803.0,98.09
5251,K04167.01,,2.991966730000,0.72000,1024.0,260.09
5252,K04168.01,,0.536544690000,1.01000,1749.0,2210.10
5253,K04169.01,,1.005207007000,0.89000,1683.0,1896.29
5254,K04170.01,,43.796748000000,1.12000,542.0,20.40
5255,K04171.01,,0.952372551000,15.97000,1869.0,2885.01
5256,K04172.01,,1.089088655000,2.05000,1905.0,3112.20
5257,K04173.01,,1.227986053000,1.20000,1672.0,1846.47
5258,K04174.01,,2.115531710000,1.39000,1426.0,978.38
5259,K04175.01,,2.178162280000,1.19000,1146.0,407.88
5260,K04176.01,,342.315407000000,3.15000,304.0,2.03
5261,K04177.01,,1.089088064000,1.06000,1471.0,1106.05
5262,K04178.01,,7.016075340000,1.54000,1135.0,392.83
5263,K04179.01,,0.569966033000,1.04000,2747.0,13463.04
5264,K04180.01,,1.121635843000,0.68000,1221.0,525.09
5265,K04181.01,,1.332570850000,1.08000,1693.0,1943.76
5266,K04181.02,,164.689421000000,2.24000,340.0,3.15
5267,K04182.01,,0.536650706000,21.27000,2164.0,5179.76
5268,K04183.01,,0.952381980000,0.96000,2675.0,12109.89
5269,K04184.01,,6.080048210000,1.05000,808.0,100.72
5270,K04185.01,,3.035208688000,3163.54000,1143.0,403.53
5271,K04186.01,,2.213154000000,1.05000,1374.0,841.98
5272,K04187.01,,7.071600940000,1.38000,1162.0,431.05
5273,K04188.01,,6.963551030000,1.44000,1297.0,669.78
5274,K04189.01,,64.273775200000,4.72000,570.0,25.00
5275,K04190.01,,3.432765980000,0.72000,1134.0,390.57
5276,K04191.01,,13.845314600000,1.36000,1001.0,237.77
5277,K04192.01,,18.054038100000,1.39000,623.0,35.72
5278,K04192.02,,32.027206400000,1.13000,515.0,16.64
5279,K04193.01,,94.176898000000,4.33000,493.0,14.00
5280,K04194.01,,1.538188437000,1.18000,1240.0,559.27
5281,K04195.01,,1.332568207000,0.63000,1491.0,1168.33
5282,K04196.01,,0.662456389000,50.98000,2765.0,13807.90
5283,K04197.01,,1.332563650000,19.89000,1820.0,2593.34
5284,K04198.01,,1.182858516000,0.69000,2156.0,5106.50
5285,K04199.01,,0.539915238000,0.68000,1727.0,2104.36
5286,K04200.01,,372.543530000000,74.14000,226.0,0.62
5287,K04201.01,,245.019020000000,1.98000,310.0,2.17
5288,K04202.01,,153.979578000000,2.67000,330.0,2.82
5289,K04203.01,,2.180766750000,16.98000,2097.0,4570.70
5290,K04204.01,,20.925392000000,1.38000,730.0,66.95
5291,K04205.01,,1.166960278000,0.90000,1673.0,1852.00
5292,K04206.01,,0.530958339000,0.68000,1858.0,2816.29
5293,K04207.01,,0.701942527000,0.77000,1224.0,531.34
5294,K04208.01,,3.057715730000,1.33000,879.0,141.10
5295,K04209.01,,9.909087800000,2.48000,702.0,57.45
5296,K04210.01,,398.409570000000,3.33000,279.0,1.44
5297,K04211.01,,0.696285403000,1.01000,1967.0,3537.89
5298,K04211.02,,0.696300185000,0.83300,1970.0,
5299,K04212.01,,5.791801560000,1.25000,1124.0,377.80
5300,K04212.02,,10.098965200000,1.06000,934.0,180.08
5301,K04213.01,,3.675146750000,0.75000,1272.0,619.44
5302,K04214.01,,0.715824756000,0.59000,1918.0,3196.46
5303,K04215.01,,26.548955000000,2.57000,836.0,115.61
5304,K04216.01,,0.984583082000,23.95000,1421.0,963.47
5305,K04217.01,,1.038896100000,114.10000,2494.0,9145.54
5306,K04218.01,,293.768870000000,1.97000,271.0,1.28
5307,K04219.01,,1.878867160000,0.91000,1406.0,922.49
5308,K04220.01,,0.785474877000,60.25000,1771.0,2325.64
5309,K04221.01,,5.244032200000,1.14000,1026.0,262.14
5310,K04222.01,,3.385554880000,1.61000,1476.0,1122.90
5311,K04223.01,,2.754024000000,1.68000,1553.0,1374.41
5312,K04224.01,,1.975205819000,1.18000,1754.0,2239.32
5313,K04225.01,,0.960843627000,1.28000,1863.0,2846.29
5314,K04226.01,,49.564465200000,1.71000,597.0,30.06
5315,K04227.01,,4.292560040000,1.71000,1161.0,428.77
5316,K04228.01,,0.960842105000,67.46000,2852.0,15634.74
5317,K04229.01,,14.589392800000,0.71000,811.0,102.46
5318,K04230.01,,5.495486210000,1.33000,1293.0,661.04
5319,K04231.01,,24.909743600000,2.24000,912.0,163.58
5320,K04232.01,,2.615755400000,1.15000,1378.0,851.60
5321,K04233.01,,409.245200000000,2.10000,244.0,0.84
5322,K04234.01,,6.942433400000,1.27000,1003.0,239.39
5323,K04235.01,,66.643074700000,3.15000,589.0,28.51
5324,K04236.01,,0.739761008000,9.67000,839.0,117.05
5325,K04237.01,,0.950734937000,1.48000,1907.0,3129.59
5326,K04238.01,,369.819993000000,4.25000,201.0,0.38
5327,K04239.01,,2.178159560000,1.36000,1605.0,1566.86
5328,K04240.01,,3.133923670000,1.64000,1319.0,716.55
5329,K04241.01,,2.553142130000,1.33000,1312.0,699.70
5330,K04242.01,,145.786506000000,2.03000,353.0,3.68
5331,K04243.01,,1.332543590000,1.47000,2695.0,12477.61
5332,K04244.01,,1.288064934000,13.56000,1308.0,692.00
5333,K04245.01,,24.668553000000,1.94000,780.0,87.47
5334,K04246.01,,6.984719730000,1.15000,1062.0,300.62
5335,K04246.02,,8.756240300000,1.58000,985.0,222.52
5336,K04247.01,,349.410470000000,2.41000,253.0,0.97
5337,K04248.01,,0.562565704000,0.71000,2621.0,11150.40
5338,K04249.01,,397.722583000000,2.66000,211.0,0.47
5339,K04250.01,,2.178177170000,1.14000,1346.0,776.45
5340,K04251.01,,6.239682150000,1.78000,1061.0,299.03
5341,K04252.01,,15.571316110000,0.70000,391.0,5.52
5342,K04253.01,,173.257837200000,117.29000,376.0,4.73
5343,K04254.01,,0.530967458000,0.95000,4196.0,73278.12
5344,K04255.01,,6.305602470000,2.65000,1125.0,378.90
5345,K04256.01,,4.205874710000,1.36000,1015.0,251.36
5346,K04257.01,,41.675518100000,1.93000,690.0,53.72
5347,K04258.01,,0.566803138000,0.68000,2826.0,15078.47
5348,K04259.01,,0.909125529000,0.97000,1815.0,2566.87
5349,K04260.01,,371.633270000000,1.83000,316.0,2.36
5350,K04260.02,,101.889228000000,1.43000,487.0,13.26
5351,K04261.01,,1.450886907000,1.24000,1699.0,1970.75
5352,K04262.01,,1.089077255000,0.77000,2040.0,4090.44
5353,K04263.01,,1.662710960000,1.56000,2307.0,6700.60
5354,K04264.01,,0.888477901000,1.48000,1670.0,1836.92
5355,K04265.01,,2.182450350000,0.69000,1291.0,656.83
5356,K04266.01,,0.503999734000,3.35000,1604.0,1566.41
5357,K04267.01,,2.208294120000,0.95000,1472.0,1108.75
5358,K04268.01,,0.849907889000,0.59000,1136.0,394.33
5359,K04269.01,,26.656557400000,4.05000,903.0,157.45
5360,K04269.02,,4.440828700000,1.69000,1642.0,1719.20
5361,K04270.01,,373.722570000000,67.13000,262.0,1.11
5362,K04271.01,,0.641076700000,0.95000,2197.0,5512.38
5363,K04272.01,,1.214746570000,6.76000,3302.0,28091.85
5364,K04273.01,,17.373250100000,0.97000,782.0,88.40
5365,K04274.01,,1.975074000000,1.09000,1476.0,1122.82
5366,K04275.01,,0.498430072000,0.56000,1997.0,3759.60
5367,K04276.01,,56.644927900000,1.19000,550.0,21.65
5368,K04277.01,,1.710315000000,0.68000,1694.0,1944.51
5369,K04278.01,,5.629788510000,1.74000,899.0,154.59
5370,K04279.01,,1.050852687000,59.98000,1789.0,2423.97
5371,K04280.01,,1.397717330000,2.05000,1761.0,2275.72
5372,K04281.01,,383.008060000000,2.20000,235.0,0.72
5373,K04282.01,,0.847591818000,1.29000,2192.0,5458.44
5374,K04283.01,,331.815340000000,1.84000,267.0,1.20
5375,K04284.01,,2.428034810000,0.94000,1531.0,1299.17
5376,K04285.01,,372.948440000000,1.34000,233.0,0.70
5377,K04286.01,,0.787121634000,37.64000,1973.0,3580.04
